<h2>Plants Toxic to Cats</h2>
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/elephant-ears">,Elephant Ears,Caladium hortulanum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/elephant-ears-0">,Elephant Ears,Colocasia esculenta
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/elephant-ear-begonia">,Elephant-Ear Begonia,Begonia scharfii
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/emerald-feather">,Emerald Feather,Asparagus densiflorus
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/english-holly">,English Holly,Ilex aquifolium
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/english-ivy">,English Ivy,Hedera helix
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/english-yew">,English Yew,Taxus baccata
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/epazote">,Epazote,Chenopodium ambrosioides
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/eucalyptus">,Eucalyptus,Eucalyptus species
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/european-bittersweet">,European Bittersweet,Solanum dulcamara
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/european-holly">,European Holly,Ilex aquifolium
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/everlasting-pea">,Everlasting Pea,Lathyrus latifolius
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/exotica">,Exotica,Dieffenbachia amoena
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/false-bittersweet">,False Bittersweet,Celastrus scandens
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/false-queen-annes-lace">,False Queen Anne’s Lace,Ammi majus
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/feather-geranium">,Feather Geranium,Ambrosia mexicana
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/fern-palm">,Fern Palm,Zamia spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/fetter-bush">,Fetter Bush,Leucothoe spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/fetterbush">,Fetterbush,Lyonia spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/fiddle-leaf">,Fiddle-Leaf,Philodendron bipennifolium
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/fig">,Fig,Ficus benjamina
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/figwort">,Figwort,Ranunculus acris
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/fire-lily">,Fire Lily,Hippeastrum spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/flag">,Flag,Iris species
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/flamingo-flower">,Flamingo Flower,Anthurium scherzeranum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/fleabane">,Fleabane,Erigeron speciosus
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/florida-beauty">,Florida Beauty,Dracaena surculosa
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/florists-calla">,Florist's Calla,Zantedeschia aethiopica
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/foxglove">,Foxglove,Digitalis purpurea
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/franciscan-rain-tree">,Franciscan Rain Tree,Brunfelsia species
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/garden-calla">,Garden Calla,Zantedeschia aethiopica
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/garden-chamomile">,Garden Chamomile,Anthemis nobilis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/garden-hyacinth">,Garden Hyacinth,Hyacinthus orientalis
